Data from Graph
  ==============

  Title		: Control : Moment - |e_x

  X Axis Title	: Axial Strain (mm/m)
  Y Axis Title	: Moment (kNm)

   Axial Strain (mm/m)		Moment (kNm)
Line type : 0
   0.000   	   -0.000
   -0.001   	   5.132
   -0.002   	   11.289
   -0.003   	   16.216
   -0.003   	   20.157
   -0.004   	   23.309
   -0.004   	   25.832
   -0.005   	   27.849
   -0.005   	   29.463
   -0.005   	   30.755
   -0.005   	   31.788
   -0.005   	   32.614
   -0.005   	   33.275
   -0.005   	   33.768
   -0.000   	   31.974
   0.023   	   47.216
   0.054   	   60.622
   0.088   	   73.823
   0.123   	   87.005
   0.158   	   100.209
   0.193   	   113.429
   0.228   	   126.675
   0.263   	   139.914
   0.299   	   153.143
   0.334   	   166.567
   0.372   	   181.298
   0.414   	   197.413
   0.460   	   215.063
   0.508   	   234.291
   0.623   	   240.365
   0.743   	   241.619
   0.878   	   242.776
   1.028   	   243.869
   1.196   	   244.863
   1.383   	   245.798
   1.591   	   246.651
   1.822   	   247.429
   2.078   	   248.130
   2.361   	   248.737
   2.674   	   249.234
   2.743   	   249.382
   2.754   	   249.402
   2.762   	   249.415
   2.798   	   249.457
   3.018   	   249.731
   3.394   	   250.030
   3.805   	   250.181
   4.251   	   250.156
   4.731   	   249.920
   5.246   	   249.435
   5.792   	   248.666
   6.367   	   247.581
   6.965   	   246.175
   7.519   	   243.998
   7.647   	   238.248
   6.813   	   225.630
   5.465   	   198.673



 Data from Graph
  ==============

  Title		: Control : Moment - |f

  X Axis Title	: Curvature (mrad/m)
  Y Axis Title	: Moment (kNm)

   Curvature (mrad/m)		Moment (kNm)
Line type : 0
   -0.000   	   -0.000
   0.056   	   5.132
   0.122   	   11.289
   0.176   	   16.216
   0.218   	   20.157
   0.252   	   23.309
   0.280   	   25.832
   0.302   	   27.849
   0.319   	   29.463
   0.333   	   30.755
   0.344   	   31.788
   0.353   	   32.614
   0.360   	   33.275
   0.366   	   33.768
   0.389   	   31.974
   0.722   	   47.216
   1.056   	   60.622
   1.389   	   73.823
   1.722   	   87.005
   2.056   	   100.209
   2.389   	   113.429
   2.722   	   126.675
   3.056   	   139.914
   3.389   	   153.143
   3.728   	   166.567
   4.101   	   181.298
   4.511   	   197.413
   4.962   	   215.063
   5.458   	   234.291
